id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
60963,9e-06,ipv6,-,INT,2,0,86,0,111111.1072,254,0,38222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,43,0,0,0,1,2,1,1,1,1,0,0,0,3,1,0,Exploits,1
52036,0.926106,tcp,-,FIN,10,8,564,354,18.356431,254,252,4388.266602,2677.879395,2,1,99.631778,121.821711,6475.089354,177.376969,255,1927451398,1849012978,255,0.126396,0.073346,0.05305,56,44,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
100059,4.255277,tcp,-,FIN,36,14,34710,964,11.515114,254,252,63443.10547,1684.496582,15,2,125.152265,322.583469,13237.90058,638.136,255,3656024144,570689487,255,0.139704,0.061691,0.078013,964,69,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Fuzzers,1
61055,9e-06,udp,-,INT,2,0,120,0,111111.1072,254,0,53333332.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,Shellcode,1
58689,3e-06,ggp,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,4,3,0,DoS,1
89974,0.194561,tcp,-,FIN,10,6,740,268,77.096641,254,252,27384.72656,9210.478516,2,1,19.759222,37.328,1039.766564,61.54452,255,3347133172,1546424046,255,0.05457,0.007912,0.046658,74,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
70889,5e-06,mtp,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,24,7,0,Analysis,1
121273,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
114623,0.498576,tcp,-,FIN,10,6,490,268,30.085685,254,252,7076.15332,3594.236572,2,1,51.760111,89.827203,2636.340895,131.453203,255,3484347148,3476937282,255,0.118869,0.049431,0.069438,49,45,0,0,1,1,1,1,1,1,0,0,0,19,1,0,Shellcode,1
63535,59.30122,ospf,-,INT,196,0,53312,0,3.288297,254,0,7155.333496,0.0,0,0,304.108656,0.0,357.462031,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0,Backdoor,1
44810,0.774023,tcp,http,FIN,10,10,860,1368,24.547074,62,252,7999.762207,12733.47168,2,2,86.002556,83.679219,5602.180108,134.492953,255,1509177837,801053267,255,0.104314,0.020279,0.084035,86,137,0,0,3,1,1,2,1,2,0,0,0,2,2,0,Normal,0
109265,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,3,6,0,Analysis,1
171281,4.369402,tcp,-,FIN,44,32,21094,3824,17.164821,254,252,37744.29688,6783.537109,17,13,101.614003,137.967969,5690.639061,208.280672,255,339493700,1571085670,255,0.167123,0.091704,0.075419,479,120,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
129418,1.402021,tcp,-,FIN,12,8,1102,750,13.551865,254,252,5768.814941,3748.873779,3,2,116.549634,181.842,6422.926454,237.477578,255,3054918790,3805992993,255,0.205181,0.129124,0.076057,92,94,0,0,4,1,1,1,1,2,0,0,0,1,2,0,Fuzzers,1
99990,0.537963,tcp,-,FIN,10,8,468,3230,31.600688,254,252,6275.524902,42040.06641,2,2,59.773667,74.48,4527.99279,172.089562,255,438676611,3221148524,255,0.02957,0.00871,0.02086,47,404,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
128838,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,19,18,18,20,0,0,0,18,20,0,Generic,1
92824,1e-05,qnx,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,6,4,4,13,0,0,0,8,9,0,DoS,1
63942,1.637352,tcp,pop3,FIN,30,86,1386,91880,70.235356,62,252,6547.156738,443701.7813,7,41,56.460414,18.553613,2783.779433,1590.887905,255,1426971590,3013274006,255,0.081196,0.031427,0.049769,46,1068,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
172574,0.793757,tcp,-,FIN,10,6,710,268,18.897471,254,252,6440.257812,2257.61792,2,1,85.805556,147.524406,6356.03197,264.796688,255,3491037920,965226393,255,0.092705,0.05613,0.036575,71,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
106199,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,2,2,2,8,0,0,0,2,8,0,Fuzzers,1
170661,2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,16,16,16,27,0,0,0,16,27,0,Generic,1
174876,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,17,17,17,28,0,0,0,17,28,0,Generic,1
45954,9.859676,tcp,-,REQ,12,0,540,0,1.115655,254,0,401.635895,0.0,11,0,896.334187,0.0,1629.30275,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,12,2,2,11,0,0,0,11,11,0,Normal,0
101032,9.745114,tcp,http,FIN,116,698,5284,915302,83.42642,254,252,4300.821777,750317.3125,2,347,84.740121,13.903942,4009.090421,1643.987382,255,3588406060,421898955,255,0.126188,0.078252,0.047936,46,1311,1,443364,1,1,1,1,1,1,0,0,1,1,1,0,Worms,1
1633,0.001057,udp,dns,CON,2,2,146,178,2838.221339,31,29,552507.0625,673604.5,0,0,0.004,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,10,1,1,1,0,0,0,3,1,0,Normal,0
100290,1e-05,udp,-,INT,2,0,168,0,100000.0025,254,0,67200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
166759,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,3,6,0,DoS,1
5771,1.143724,tcp,http,FIN,14,18,1684,10168,27.104442,31,29,10939.70215,67177.04688,3,5,87.951,67.245471,8835.544562,7736.3685,255,2445918907,2446963220,255,0.000686,0.000548,0.000138,120,565,1,3924,1,0,2,1,1,1,0,0,1,1,2,0,Normal,0
